course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio,community_avg_rating,community_review_count,community_avg_comment_length,latest_review_at
CHN1103,汉语视听说（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0,,,,
CHN1203,创意写作（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0,,,,
CHN1205,中文经典阅读（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0,,,,
CHN1206,大学语文（1）,人文学院,4.0,1,1,0,3.0,1,必修,afternoon,0.0,0.0,,,,
CHN1208,汉语口语交际（1）,人文学院,4.0,1,1,0,3.0,1,必修,morning,0.0,0.0,,,,
CHN1302,中国文学史（1）,人文学院,4.0,3,1,130,40.0,1,必修,morning,0.0,0.0,4.4,10.0,147.6,2026/03/17 12:01
CHN1304,中国历史,人文学院,3.0,2,2,27,13.5,1,必修,morning,0.0,0.0,4.326,46.0,144.8,2026/01/30 16:02
CHN1311,汉字与中国文化,人文学院,2.0,2,1,50,40.0,1,限选,afternoon,0.0,0.0,4.6,5.0,151.0,2026/01/12 11:07
CHN1316,中国现代文学,人文学院,3.0,3,3,27,9.0,1,必修,afternoon,0.0,0.0,3.592,49.0,199.7,2026/01/30 16:30
CHN1317,中国文化概论A,人文学院,4.0,1,1,6,3.0,1,必修,morning,0.0,0.0,,,,
CHN1411,普通话正音,人文学院,2.0,2,1,0,30.0,1,限选,mixed,0.0,0.0,,,,
CHN1551,前期导师（1）,人文学院,1.0,5,5,27,5.4,1,必修,morning,0.0,0.0,3.75,8.0,136.0,2026/01/14 23:50
CHN2203,商务汉语综合A（1）,人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0,,,,
CHN2207,现代汉语A(1),人文学院,4.0,1,1,12,6.0,1,必修,morning,0.0,0.0,,,,
CHN2209,中国概况A,人文学院,2.0,1,1,6,6.0,1,必修,morning,0.0,0.0,,,,
CHN2220,现代汉语（1）,人文学院,2.0,3,2,83,35.67,1,必修,morning,0.0,0.0,5.0,2.0,55.5,2026/01/30 16:06
CHN2221,现代汉语（2）,人文学院,2.0,1,1,6,40.0,1,必修,evening,0.0,0.0,5.0,2.0,15.0,2025/06/14 22:24
CHN2302,中国文学史（3）,人文学院,4.0,2,1,116,35.0,1,必修,afternoon,0.0,0.0,3.25,4.0,129.8,2026/01/22 17:46
CHN2305,中国现代诗歌导读,人文学院,2.0,1,1,60,50.0,1,限选,morning,0.0,0.0,4.0,3.0,105.7,2026/01/20 10:38
CHN2315,文学概论,人文学院,2.0,1,1,34,35.0,1,必修,morning,0.0,0.0,2.2,5.0,272.8,2025/07/12 17:40
CHN2326,古代汉语(1）,人文学院,2.0,3,1,87,40.67,1,必修,mixed,0.0,0.0,4.0,1.0,442.0,2026/01/16 21:57
CHN2401,汉语综合课（3）,人文学院,6.0,2,2,0,30.0,1,必修,morning,0.0,0.0,,,,
CHN2402,汉语视听（1）,人文学院,4.0,2,1,0,30.0,1,必修,morning,0.0,0.0,,,,
CHN2403,中级汉语口语（1）,人文学院,4.0,2,2,2,30.0,1,必修,afternoon,0.0,0.0,,,,
CHN2404,汉语写作（A类）（1）,人文学院,2.0,2,1,0,30.0,2,必修,morning,0.0,0.0,,,,
CHN2409,中国概况（B类）,人文学院,2.0,2,1,0,30.0,1,必修,morning,0.0,0.0,,,,
CHN2414,中文报刊阅读,人文学院,2.0,2,1,5,33.0,2,限选,afternoon,0.0,0.0,,,,
CHN2524,古代经典诵读（1）,人文学院,1.0,2,2,38,23.0,1,必修,morning,1.0,0.0,,,,
CHN2526,专业导师（1）,人文学院,1.0,4,4,37,12.0,1,必修,morning,0.0,0.0,5.0,1.0,80.0,2025/12/09 14:54
CHN2622,大学写作和文学鉴赏,人文学院,2.0,1,1,6,20.0,1,必修,afternoon,0.0,0.0,,,,
CHN2626,创意写作（初阶）,人文学院,2.0,1,1,15,20.0,1,必修,afternoon,0.0,0.0,,,,
CHN2628,写作,人文学院,2.0,1,1,42,45.0,1,必修,afternoon,0.0,0.0,5.0,2.0,85.0,2026/01/06 13:30
CHN2722,西方文学史（1）,人文学院,2.0,2,1,56,40.0,1,必修,morning,0.0,0.0,3.0,5.0,131.2,2026/01/16 21:20
CHN3305,古典文献学,人文学院,2.0,1,1,28,28.0,1,限选,evening,0.0,0.0,5.0,1.0,130.0,2026/01/12 10:54
CHN3307,二十世纪中国文学思潮,人文学院,2.0,1,1,3,40.0,1,限选,evening,0.0,0.0,,,,
CHN3308,美学原典导读,人文学院,2.0,1,1,23,28.0,1,限选,afternoon,0.0,0.0,,,,
CHN3312,读书报告（三）（专业导师制活动）,人文学院,1.0,4,4,24,8.0,1,必修,morning,0.0,0.0,3.0,3.0,68.3,2025/12/23 18:47
CHN3401,汉语写作（B类）（3）,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0,,,,
CHN3403,当代话题,人文学院,2.0,1,1,12,13.0,1,限选,morning,0.0,0.0,,,,
CHN3404,中国经济与政治,人文学院,2.0,2,1,43,24.5,1,限选,afternoon,0.0,0.0,,,,
CHN3406,中国古代文学（1）,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0,,,,
CHN3407,现代汉语（B类）（1）,人文学院,4.0,2,2,88,23.0,1,必修,morning,0.0,0.0,,,,
CHN3408,中国现代文学,人文学院,2.0,1,1,10,10.0,1,必修,morning,0.0,0.0,,,,
CHN3414,中国商务文化,人文学院,2.0,2,1,41,24.5,1,限选,afternoon,0.0,0.0,,,,
CHN3415,中国民俗,人文学院,2.0,2,1,43,24.5,1,限选,afternoon,0.0,0.0,,,,
CHN3418,中国现当代文学,人文学院,2.0,2,1,33,19.5,1,限选,morning,0.0,0.0,,,,
